ID,Date,Start Time,End Time
1,02/11/2019,08:25,16:24
1,03/11/2019,07:54,16:20
1,04/11/2019,07:46,16:08
1,05/11/2019,08:13,16:10
1,06/11/2019,07:48,15:24
1,08/11/2019,08:27,15:26
1,09/11/2019,08:25,16:02
1,10/11/2019,07:49,15:03
1,11/11/2019,08:18,15:29
1,12/11/2019,07:54,16:21
1,15/11/2019,07:50,16:24
1,16/11/2019,07:48,16:25
1,17/11/2019,08:25,15:28
1,19/11/2019,07:49,16:10
1,21/11/2019,08:11,15:06
1,22/11/2019,07:58,15:29
1,23/11/2019,07:49,15:20
1,24/11/2019,08:28,16:28
1,26/11/2019,08:29,16:14
1,27/11/2019,07:59,15:18
1,28/11/2019,07:53,16:24
1,29/11/2019,07:49,16:25
1,30/11/2019,08:25,15:08
1,31/11/2019,08:10,16:09
2,01/11/2019,07:58,15:22
2,02/11/2019,07:53,16:16
2,03/11/2019,08:13,15:05
2,04/11/2019,07:54,16:04
2,06/11/2019,07:48,16:02
2,07/11/2019,07:53,16:17
2,08/11/2019,07:45,16:06
2,09/11/2019,08:27,16:03
2,10/11/2019,08:11,16:11
2,12/11/2019,08:29,16:16
2,13/11/2019,08:13,15:07
2,15/11/2019,08:28,15:27
2,17/11/2019,07:56,15:11
2,19/11/2019,08:19,16:04
2,20/11/2019,08:28,15:09
2,23/11/2019,08:08,15:06
2,24/11/2019,08:08,16:00
2,25/11/2019,07:49,16:22
2,26/11/2019,08:22,15:00
2,27/11/2019,08:26,16:17
2,28/11/2019,08:22,16:18
2,29/11/2019,08:21,15:05
2,31/11/2019,08:05,15:05
3,01/11/2019,07:49,16:08
3,02/11/2019,08:29,16:23
3,03/11/2019,08:00,16:17
3,04/11/2019,08:02,16:29
3,05/11/2019,07:51,15:17
3,06/11/2019,08:14,16:01
3,07/11/2019,08:08,16:07
3,08/11/2019,08:22,16:21
3,09/11/2019,07:46,16:16
3,10/11/2019,08:18,16:23
3,12/11/2019,07:46,16:10
3,13/11/2019,08:17,15:00
3,14/11/2019,07:55,15:27
3,15/11/2019,08:20,15:02
3,16/11/2019,08:11,15:16
3,17/11/2019,07:45,15:17
3,18/11/2019,08:03,15:14
3,19/11/2019,08:19,15:01
3,20/11/2019,08:20,16:23
3,21/11/2019,07:45,15:28
3,23/11/2019,08:28,16:18
3,25/11/2019,08:17,15:04
3,28/11/2019,08:27,15:02
3,29/11/2019,07:49,15:09
3,30/11/2019,08:10,16:17
4,01/11/2019,08:10,15:11
4,02/11/2019,07:48,16:13
4,03/11/2019,07:46,15:09
4,04/11/2019,07:51,15:01
4,05/11/2019,07:59,15:21
4,06/11/2019,08:08,15:09
4,08/11/2019,07:50,16:27
4,10/11/2019,07:55,16:13
4,11/11/2019,07:45,16:02
4,12/11/2019,08:23,16:11
4,14/11/2019,08:08,15:22
4,15/11/2019,08:19,16:28
4,16/11/2019,07:54,16:19
4,18/11/2019,07:53,16:25
4,20/11/2019,08:16,15:18
4,21/11/2019,08:15,16:02
4,22/11/2019,07:57,16:20
4,24/11/2019,08:06,16:21
4,25/11/2019,08:00,16:28
4,26/11/2019,08:11,15:26
4,27/11/2019,07:53,16:16
4,28/11/2019,07:53,15:20
4,29/11/2019,07:47,15:09
4,30/11/2019,08:23,16:28
4,31/11/2019,07:47,16:12
5,01/11/2019,07:46,15:10
5,02/11/2019,08:04,15:11
5,03/11/2019,08:26,15:20
5,04/11/2019,08:00,15:14
5,05/11/2019,08:23,16:22
5,06/11/2019,08:22,15:24
5,07/11/2019,08:03,16:19
5,09/11/2019,07:51,15:09
5,10/11/2019,08:09,16:06
5,11/11/2019,08:02,15:07
5,12/11/2019,07:58,16:23
5,13/11/2019,07:49,15:15
5,14/11/2019,07:47,16:20
5,15/11/2019,08:29,15:12
5,16/11/2019,07:49,15:12
5,17/11/2019,07:50,16:04
5,18/11/2019,08:23,15:25
5,20/11/2019,08:08,15:19
5,22/11/2019,08:13,15:05
5,23/11/2019,08:03,16:10
5,24/11/2019,07:53,16:21
5,25/11/2019,07:49,15:10
5,26/11/2019,08:26,15:12
5,27/11/2019,08:11,16:10
5,29/11/2019,07:55,15:06
5,30/11/2019,08:06,16:08
5,31/11/2019,07:58,15:28
6,01/11/2019,08:28,15:03
6,02/11/2019,07:46,16:27
6,03/11/2019,07:45,15:19
6,04/11/2019,08:14,15:21
6,05/11/2019,08:16,15:22
6,06/11/2019,07:47,16:08
6,08/11/2019,07:49,16:27
6,09/11/2019,07:45,16:27
6,10/11/2019,07:57,16:28
6,11/11/2019,07:57,15:16
6,12/11/2019,07:53,16:17
6,13/11/2019,08:26,15:20
6,14/11/2019,08:24,16:15
6,15/11/2019,08:01,15:12
6,16/11/2019,08:22,16:22
6,17/11/2019,07:51,16:12
6,18/11/2019,07:58,16:12
6,19/11/2019,08:09,15:12
6,20/11/2019,07:45,15:15
6,21/11/2019,07:55,16:20
6,22/11/2019,08:18,15:13
6,23/11/2019,08:14,16:26
6,25/11/2019,08:04,15:16
6,26/11/2019,08:17,16:12
6,27/11/2019,08:03,16:20
6,28/11/2019,08:05,15:07
6,29/11/2019,07:47,16:23
6,30/11/2019,07:47,16:25
6,31/11/2019,08:03,16:18
7,02/11/2019,08:03,16:27
7,03/11/2019,07:50,16:03
7,04/11/2019,07:47,15:13
7,05/11/2019,07:56,15:11
7,06/11/2019,07:59,16:18
7,07/11/2019,07:48,15:15
7,08/11/2019,07:49,16:28
7,09/11/2019,07:48,16:15
7,10/11/2019,07:58,16:24
7,11/11/2019,07:53,16:21
7,12/11/2019,07:54,16:21
7,13/11/2019,08:18,15:06
7,14/11/2019,07:47,15:07
7,15/11/2019,08:19,16:20
7,17/11/2019,07:45,15:26
7,19/11/2019,07:50,15:19
7,20/11/2019,08:19,15:07
7,21/11/2019,07:56,15:19
7,22/11/2019,07:45,15:09
7,23/11/2019,08:20,15:27
7,24/11/2019,07:56,16:12
7,26/11/2019,07:56,15:27
7,28/11/2019,07:53,16:22
7,29/11/2019,07:53,15:19
7,30/11/2019,08:21,16:11
7,31/11/2019,08:21,16:15
8,01/11/2019,08:29,16:20
8,02/11/2019,08:08,16:19
8,03/11/2019,07:59,16:23
8,05/11/2019,07:48,16:12
8,07/11/2019,07:57,15:06
8,08/11/2019,08:04,16:19
8,11/11/2019,08:26,15:12
8,12/11/2019,08:14,15:00
8,13/11/2019,07:55,16:03
8,14/11/2019,08:05,15:15
8,15/11/2019,07:45,15:10
8,16/11/2019,07:52,15:05
8,17/11/2019,07:49,15:26
8,18/11/2019,07:50,16:26
8,19/11/2019,07:52,16:19
8,20/11/2019,08:05,16:16
8,21/11/2019,07:51,15:14
8,22/11/2019,07:50,15:19
8,23/11/2019,08:26,16:04
8,24/11/2019,07:55,15:02
8,25/11/2019,08:18,16:08
8,27/11/2019,08:27,15:29
8,28/11/2019,07:58,15:23
8,29/11/2019,08:18,16:24
8,30/11/2019,08:04,16:20
8,31/11/2019,07:51,16:02
9,01/11/2019,07:50,15:06
9,02/11/2019,08:06,15:04
9,03/11/2019,07:58,16:10
9,04/11/2019,07:48,16:09
9,05/11/2019,07:55,15:12
9,06/11/2019,07:46,15:11
9,07/11/2019,08:11,15:23
9,08/11/2019,08:05,16:21
9,12/11/2019,07:45,15:15
9,14/11/2019,08:26,16:21
9,15/11/2019,08:11,16:10
9,16/11/2019,08:11,16:20
9,18/11/2019,07:56,16:27
9,19/11/2019,08:07,15:03
9,21/11/2019,07:58,16:06
9,22/11/2019,07:55,15:23
9,23/11/2019,07:49,16:02
9,25/11/2019,08:28,15:06
9,26/11/2019,08:02,16:06
9,27/11/2019,08:11,15:28
9,28/11/2019,08:17,15:17
9,29/11/2019,08:03,15:11
9,30/11/2019,07:50,16:12
9,31/11/2019,08:03,16:14
10,01/11/2019,08:24,16:14
10,02/11/2019,08:17,15:25
